variant,uncertainty_col,aurc,coverage,n_selected,n_error_selected,risk
id_val,uncertainty_confidence,0.0035580524507633905,1.0,500,18,0.036
id_val,uncertainty_confidence,0.0035580524507633905,0.95,475,9,0.018947368421052633
id_val,uncertainty_confidence,0.0035580524507633905,0.9,450,5,0.011111111111111112
id_val,uncertainty_confidence,0.0035580524507633905,0.8,400,3,0.0075
id_val,uncertainty_confidence,0.0035580524507633905,0.7,350,1,0.002857142857142857
id_val,uncertainty_confidence,0.0035580524507633905,0.5,250,0,0.0
id_val,entropy,0.0035580524507633905,1.0,500,18,0.036
id_val,entropy,0.0035580524507633905,0.95,475,9,0.018947368421052633
id_val,entropy,0.0035580524507633905,0.9,450,5,0.011111111111111112
id_val,entropy,0.0035580524507633905,0.8,400,3,0.0075
id_val,entropy,0.0035580524507633905,0.7,350,1,0.002857142857142857
id_val,entropy,0.0035580524507633905,0.5,250,0,0.0
id_val,uncertainty_margin,0.0035580524507633905,1.0,500,18,0.036
id_val,uncertainty_margin,0.0035580524507633905,0.95,475,9,0.018947368421052633
id_val,uncertainty_margin,0.0035580524507633905,0.9,450,5,0.011111111111111112
id_val,uncertainty_margin,0.0035580524507633905,0.8,400,3,0.0075
id_val,uncertainty_margin,0.0035580524507633905,0.7,350,1,0.002857142857142857
id_val,uncertainty_margin,0.0035580524507633905,0.5,250,0,0.0
id_val,energy,0.003603315904175402,1.0,500,18,0.036
id_val,energy,0.003603315904175402,0.95,475,9,0.018947368421052633
id_val,energy,0.003603315904175402,0.9,450,4,0.008888888888888889
id_val,energy,0.003603315904175402,0.8,400,3,0.0075
id_val,energy,0.003603315904175402,0.7,350,1,0.002857142857142857
id_val,energy,0.003603315904175402,0.5,250,0,0.0
ood_val_raw,uncertainty_confidence,0.2198612202095041,1.0,2000,761,0.3805
ood_val_raw,uncertainty_confidence,0.2198612202095041,0.95,1900,714,0.3757894736842105
ood_val_raw,uncertainty_confidence,0.2198612202095041,0.9,1800,654,0.36333333333333334
ood_val_raw,uncertainty_confidence,0.2198612202095041,0.8,1600,549,0.343125
ood_val_raw,uncertainty_confidence,0.2198612202095041,0.7,1400,454,0.3242857142857143
ood_val_raw,uncertainty_confidence,0.2198612202095041,0.5,1000,250,0.25
ood_val_raw,entropy,0.2198612202095041,1.0,2000,761,0.3805
ood_val_raw,entropy,0.2198612202095041,0.95,1900,714,0.3757894736842105
ood_val_raw,entropy,0.2198612202095041,0.9,1800,654,0.36333333333333334
ood_val_raw,entropy,0.2198612202095041,0.8,1600,549,0.343125
ood_val_raw,entropy,0.2198612202095041,0.7,1400,454,0.3242857142857143
ood_val_raw,entropy,0.2198612202095041,0.5,1000,250,0.25
ood_val_raw,uncertainty_margin,0.2198612202095041,1.0,2000,761,0.3805
ood_val_raw,uncertainty_margin,0.2198612202095041,0.95,1900,714,0.3757894736842105
ood_val_raw,uncertainty_margin,0.2198612202095041,0.9,1800,654,0.36333333333333334
ood_val_raw,uncertainty_margin,0.2198612202095041,0.8,1600,549,0.343125
ood_val_raw,uncertainty_margin,0.2198612202095041,0.7,1400,454,0.3242857142857143
ood_val_raw,uncertainty_margin,0.2198612202095041,0.5,1000,250,0.25
ood_val_raw,energy,0.2246384986791569,1.0,2000,761,0.3805
ood_val_raw,energy,0.2246384986791569,0.95,1900,709,0.37315789473684213
ood_val_raw,energy,0.2246384986791569,0.9,1800,663,0.36833333333333335
ood_val_raw,energy,0.2246384986791569,0.8,1600,571,0.356875
ood_val_raw,energy,0.2246384986791569,0.7,1400,468,0.3342857142857143
ood_val_raw,energy,0.2246384986791569,0.5,1000,263,0.263
ood_val_calibrated,uncertainty_confidence,0.2198612202095041,1.0,2000,761,0.3805
ood_val_calibrated,uncertainty_confidence,0.2198612202095041,0.95,1900,714,0.3757894736842105
ood_val_calibrated,uncertainty_confidence,0.2198612202095041,0.9,1800,654,0.36333333333333334
