variant,uncertainty_col,target_coverage,actual_coverage,retained_n,abstained_n,total_false_negatives,retained_false_negatives,abstained_false_negatives,fraction_of_fn_abstained,retained_false_negative_rate_over_retained,retained_false_negative_rate_over_all_tumors,total_tumors
id_val,entropy,1.0,1.0,500,0,14,14,0,0.0,0.028,0.056,250
id_val,entropy,0.95,0.95,475,25,14,6,8,0.5714285714285714,0.01263157894736842,0.024,250
id_val,entropy,0.9,0.9,450,50,14,3,11,0.7857142857142857,0.006666666666666667,0.012,250
id_val,entropy,0.8,0.8,400,100,14,2,12,0.8571428571428571,0.005,0.008,250
id_val,entropy,0.7,0.7,350,150,14,1,13,0.9285714285714286,0.002857142857142857,0.004,250
id_val,entropy,0.5,0.5,250,250,14,0,14,1.0,0.0,0.0,250
ood_val_raw,entropy,1.0,1.0,2000,0,595,595,0,0.0,0.2975,0.595,1000
ood_val_raw,entropy,0.95,0.95,1900,100,595,562,33,0.05546218487394958,0.29578947368421055,0.562,1000
ood_val_raw,entropy,0.9,0.9,1800,200,595,517,78,0.13109243697478992,0.2872222222222222,0.517,1000
ood_val_raw,entropy,0.8,0.8,1600,400,595,435,160,0.2689075630252101,0.271875,0.435,1000
ood_val_raw,entropy,0.7,0.7,1400,600,595,356,239,0.4016806722689076,0.2542857142857143,0.356,1000
ood_val_raw,entropy,0.5,0.5,1000,1000,595,198,397,0.6672268907563025,0.198,0.198,1000
ood_val_calibrated,entropy,1.0,1.0,2000,0,595,595,0,0.0,0.2975,0.595,1000
ood_val_calibrated,entropy,0.95,0.95,1900,100,595,562,33,0.05546218487394958,0.29578947368421055,0.562,1000
ood_val_calibrated,entropy,0.9,0.9,1800,200,595,517,78,0.13109243697478992,0.2872222222222222,0.517,1000
ood_val_calibrated,entropy,0.8,0.8,1600,400,595,435,160,0.2689075630252101,0.271875,0.435,1000
ood_val_calibrated,entropy,0.7,0.7,1400,600,595,356,239,0.4016806722689076,0.2542857142857143,0.356,1000
ood_val_calibrated,entropy,0.5,0.5,1000,1000,595,198,397,0.6672268907563025,0.198,0.198,1000
