model,model_label,criterion,target,split,achieved_on_id_val,threshold,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,tn,fp,fn,tp,false_negative_rate_over_tumors,predicted_positive_rate
plain,plain ERM (4A/5A),sensitivity,0.8,id_val,True,0.9990988969802856,0.9,0.9,0.8,1.0,1.0,0.888888888888889,250,0,50,200,0.2,0.4
plain,plain ERM (4A/5A),sensitivity,0.8,ood_val,True,0.9990988969802856,0.497,0.497,0.0,0.994,0.0,,994,6,1000,0,1.0,0.003
plain,plain ERM (4A/5A),sensitivity,0.9,id_val,True,0.9792266488075256,0.948,0.948,0.9,0.996,0.995575221238938,0.9453781512605042,249,1,25,225,0.1,0.452
plain,plain ERM (4A/5A),sensitivity,0.9,ood_val,True,0.9792266488075256,0.4975,0.4975,0.017,0.978,0.4358974358974359,0.032723772858517804,978,22,983,17,0.983,0.0195
plain,plain ERM (4A/5A),sensitivity,0.95,id_val,True,0.4496302008628845,0.966,0.966,0.952,0.98,0.9794238683127572,0.9655172413793104,245,5,12,238,0.048,0.486
plain,plain ERM (4A/5A),sensitivity,0.95,ood_val,True,0.4496302008628845,0.628,0.628,0.433,0.823,0.7098360655737705,0.537888198757764,823,177,567,433,0.567,0.305
stain,stain-aug (7A),sensitivity,0.8,id_val,True,0.9426636099815368,0.9,0.9,0.8,1.0,1.0,0.888888888888889,250,0,50,200,0.2,0.4
stain,stain-aug (7A),sensitivity,0.8,ood_val,True,0.9426636099815368,0.5045,0.5045,0.015,0.994,0.7142857142857143,0.029382957884427033,994,6,985,15,0.985,0.0105
stain,stain-aug (7A),sensitivity,0.9,id_val,True,0.5270541310310364,0.944,0.944,0.9,0.988,0.9868421052631579,0.9414225941422594,247,3,25,225,0.1,0.456
stain,stain-aug (7A),sensitivity,0.9,ood_val,True,0.5270541310310364,0.5265,0.5265,0.089,0.964,0.712,0.1582222222222222,964,36,911,89,0.911,0.0625
stain,stain-aug (7A),sensitivity,0.95,id_val,True,0.276974081993103,0.958,0.958,0.952,0.964,0.9635627530364372,0.9577464788732394,241,9,12,238,0.048,0.494
stain,stain-aug (7A),sensitivity,0.95,ood_val,True,0.276974081993103,0.5765,0.5765,0.226,0.927,0.7558528428093646,0.3479599692070824,927,73,774,226,0.774,0.1495
