model,model_label,split,threshold,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,tn,fp,fn,tp,false_negative_rate_over_tumors,predicted_positive_rate
plain,plain ERM (4A/5A),id_val,0.0,0.5,0.5,1.0,0.0,0.5,0.6666666666666666,0,250,0,250,0.0,1.0
plain,plain ERM (4A/5A),id_val,0.01,0.864,0.864,0.992,0.736,0.7898089171974523,0.8794326241134751,184,66,2,248,0.008,0.628
plain,plain ERM (4A/5A),id_val,0.02,0.89,0.89,0.988,0.792,0.8260869565217391,0.8998178506375227,198,52,3,247,0.012,0.598
plain,plain ERM (4A/5A),id_val,0.03,0.91,0.9099999999999999,0.988,0.832,0.8546712802768166,0.9165120593692022,208,42,3,247,0.012,0.578
plain,plain ERM (4A/5A),id_val,0.04,0.926,0.9259999999999999,0.988,0.864,0.8790035587188612,0.9303201506591336,216,34,3,247,0.012,0.562
plain,plain ERM (4A/5A),id_val,0.05,0.936,0.9359999999999999,0.988,0.884,0.894927536231884,0.9391634980988594,221,29,3,247,0.012,0.552
plain,plain ERM (4A/5A),id_val,0.06,0.944,0.944,0.988,0.9,0.9080882352941176,0.9463601532567049,225,25,3,247,0.012,0.544
plain,plain ERM (4A/5A),id_val,0.07,0.948,0.948,0.988,0.908,0.9148148148148149,0.95,227,23,3,247,0.012,0.54
plain,plain ERM (4A/5A),id_val,0.08,0.944,0.944,0.98,0.908,0.914179104477612,0.9459459459459459,227,23,5,245,0.02,0.536
plain,plain ERM (4A/5A),id_val,0.09,0.948,0.948,0.98,0.916,0.9210526315789473,0.9496124031007751,229,21,5,245,0.02,0.532
plain,plain ERM (4A/5A),id_val,0.1,0.946,0.946,0.976,0.916,0.9207547169811321,0.9475728155339807,229,21,6,244,0.024,0.53
plain,plain ERM (4A/5A),id_val,0.11,0.956,0.956,0.976,0.936,0.9384615384615385,0.9568627450980391,234,16,6,244,0.024,0.52
plain,plain ERM (4A/5A),id_val,0.12,0.962,0.962,0.976,0.948,0.9494163424124513,0.9625246548323471,237,13,6,244,0.024,0.514
plain,plain ERM (4A/5A),id_val,0.13,0.964,0.964,0.972,0.956,0.9566929133858267,0.9642857142857142,239,11,7,243,0.028,0.508
plain,plain ERM (4A/5A),id_val,0.14,0.964,0.964,0.972,0.956,0.9566929133858267,0.9642857142857142,239,11,7,243,0.028,0.508
plain,plain ERM (4A/5A),id_val,0.15,0.966,0.966,0.972,0.96,0.9604743083003953,0.9662027833001987,240,10,7,243,0.028,0.506
plain,plain ERM (4A/5A),id_val,0.16,0.966,0.966,0.972,0.96,0.9604743083003953,0.9662027833001987,240,10,7,243,0.028,0.506
plain,plain ERM (4A/5A),id_val,0.17,0.962,0.962,0.964,0.96,0.9601593625498008,0.9620758483033932,240,10,9,241,0.036,0.502
plain,plain ERM (4A/5A),id_val,0.18,0.964,0.964,0.964,0.964,0.964,0.964,241,9,9,241,0.036,0.5
plain,plain ERM (4A/5A),id_val,0.19,0.966,0.966,0.964,0.968,0.9678714859437751,0.9659318637274549,242,8,9,241,0.036,0.498
plain,plain ERM (4A/5A),id_val,0.2,0.968,0.968,0.964,0.972,0.9717741935483871,0.9678714859437753,243,7,9,241,0.036,0.496
plain,plain ERM (4A/5A),id_val,0.21,0.968,0.968,0.964,0.972,0.9717741935483871,0.9678714859437753,243,7,9,241,0.036,0.496
plain,plain ERM (4A/5A),id_val,0.22,0.966,0.966,0.96,0.972,0.97165991902834,0.96579476861167,243,7,10,240,0.04,0.494
plain,plain ERM (4A/5A),id_val,0.23,0.966,0.966,0.96,0.972,0.97165991902834,0.96579476861167,243,7,10,240,0.04,0.494
plain,plain ERM (4A/5A),id_val,0.24,0.966,0.966,0.96,0.972,0.97165991902834,0.96579476861167,243,7,10,240,0.04,0.494
plain,plain ERM (4A/5A),id_val,0.25,0.966,0.966,0.96,0.972,0.97165991902834,0.96579476861167,243,7,10,240,0.04,0.494
plain,plain ERM (4A/5A),id_val,0.26,0.966,0.966,0.96,0.972,0.97165991902834,0.96579476861167,243,7,10,240,0.04,0.494
plain,plain ERM (4A/5A),id_val,0.27,0.966,0.966,0.96,0.972,0.97165991902834,0.96579476861167,243,7,10,240,0.04,0.494
plain,plain ERM (4A/5A),id_val,0.28,0.966,0.966,0.96,0.972,0.97165991902834,0.96579476861167,243,7,10,240,0.04,0.494
plain,plain ERM (4A/5A),id_val,0.29,0.966,0.966,0.96,0.972,0.97165991902834,0.96579476861167,243,7,10,240,0.04,0.494
plain,plain ERM (4A/5A),id_val,0.3,0.966,0.966,0.96,0.972,0.97165991902834,0.96579476861167,243,7,10,240,0.04,0.494
plain,plain ERM (4A/5A),id_val,0.31,0.966,0.966,0.96,0.972,0.97165991902834,0.96579476861167,243,7,10,240,0.04,0.494
plain,plain ERM (4A/5A),id_val,0.32,0.968,0.968,0.96,0.976,0.975609756097561,0.9677419354838709,244,6,10,240,0.04,0.492
plain,plain ERM (4A/5A),id_val,0.33,0.968,0.968,0.96,0.976,0.975609756097561,0.9677419354838709,244,6,10,240,0.04,0.492
plain,plain ERM (4A/5A),id_val,0.34,0.968,0.968,0.96,0.976,0.975609756097561,0.9677419354838709,244,6,10,240,0.04,0.492
plain,plain ERM (4A/5A),id_val,0.35,0.966,0.966,0.956,0.976,0.9755102040816327,0.9656565656565657,244,6,11,239,0.044,0.49
plain,plain ERM (4A/5A),id_val,0.36,0.966,0.966,0.956,0.976,0.9755102040816327,0.9656565656565657,244,6,11,239,0.044,0.49
plain,plain ERM (4A/5A),id_val,0.37,0.966,0.966,0.956,0.976,0.9755102040816327,0.9656565656565657,244,6,11,239,0.044,0.49
