model,model_label,criterion,target,split,achieved_on_id_val,threshold,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,tn,fp,fn,tp,false_negative_rate_over_tumors,predicted_positive_rate
plain,plain ERM (4A/5A),specificity,0.8,id_val,True,0.0222498252987861,0.894,0.894,0.988,0.8,0.8316498316498316,0.903107861060329,200,50,3,247,0.012,0.594
plain,plain ERM (4A/5A),specificity,0.8,ood_val,True,0.0222498252987861,0.7165,0.7165,0.934,0.499,0.6508710801393728,0.7671457905544148,499,501,66,934,0.066,0.7175
plain,plain ERM (4A/5A),specificity,0.85,id_val,True,0.0330665484070777,0.92,0.9199999999999999,0.988,0.852,0.8697183098591549,0.9250936329588014,213,37,3,247,0.012,0.568
plain,plain ERM (4A/5A),specificity,0.85,ood_val,True,0.0330665484070777,0.722,0.722,0.901,0.543,0.6634756995581738,0.7642069550466496,543,457,99,901,0.099,0.679
plain,plain ERM (4A/5A),specificity,0.9,id_val,True,0.0674217715859413,0.944,0.944,0.988,0.9,0.9080882352941176,0.9463601532567049,225,25,3,247,0.012,0.544
plain,plain ERM (4A/5A),specificity,0.9,ood_val,True,0.0674217715859413,0.7205,0.7204999999999999,0.833,0.608,0.68,0.7487640449438203,608,392,167,833,0.167,0.6125
plain,plain ERM (4A/5A),specificity,0.95,id_val,True,0.1219599395990371,0.964,0.964,0.976,0.952,0.953125,0.9644268774703557,238,12,6,244,0.024,0.512
plain,plain ERM (4A/5A),specificity,0.95,ood_val,True,0.1219599395990371,0.7145,0.7145,0.757,0.672,0.6976958525345622,0.7261390887290169,672,328,243,757,0.243,0.5425
stain7a,stain-aug 7A,specificity,0.8,id_val,True,0.0818660631775856,0.898,0.898,0.996,0.8,0.8327759197324415,0.907103825136612,200,50,1,249,0.004,0.598
stain7a,stain-aug 7A,specificity,0.8,ood_val,True,0.0818660631775856,0.6755,0.6755,0.677,0.674,0.674975074775673,0.6759860209685472,674,326,323,677,0.323,0.5015
stain7a,stain-aug 7A,specificity,0.85,id_val,True,0.1032623052597045,0.924,0.9239999999999999,0.996,0.852,0.8706293706293706,0.9291044776119403,213,37,1,249,0.004,0.572
stain7a,stain-aug 7A,specificity,0.85,ood_val,True,0.1032623052597045,0.6535,0.6535,0.587,0.72,0.6770472895040369,0.6288162828066416,720,280,413,587,0.413,0.4335
stain7a,stain-aug 7A,specificity,0.9,id_val,True,0.1383281946182251,0.944,0.944,0.988,0.9,0.9080882352941176,0.9463601532567049,225,25,3,247,0.012,0.544
stain7a,stain-aug 7A,specificity,0.9,ood_val,True,0.1383281946182251,0.6265,0.6265000000000001,0.457,0.796,0.6913767019667171,0.5502709211318483,796,204,543,457,0.543,0.3305
stain7a,stain-aug 7A,specificity,0.95,id_val,True,0.2346847951412201,0.954,0.954,0.956,0.952,0.952191235059761,0.9540918163672655,238,12,11,239,0.044,0.502
stain7a,stain-aug 7A,specificity,0.95,ood_val,True,0.2346847951412201,0.5895,0.5895,0.27,0.909,0.7479224376731302,0.3967670830271859,909,91,730,270,0.73,0.1805
stain7d,stain-aug v2 7D,specificity,0.8,id_val,True,0.0810387879610061,0.894,0.894,0.988,0.8,0.8316498316498316,0.903107861060329,200,50,3,247,0.012,0.594
stain7d,stain-aug v2 7D,specificity,0.8,ood_val,True,0.0810387879610061,0.655,0.655,0.61,0.7,0.6703296703296703,0.6387434554973822,700,300,390,610,0.39,0.455
stain7d,stain-aug v2 7D,specificity,0.85,id_val,True,0.0967913046479225,0.92,0.9199999999999999,0.988,0.852,0.8697183098591549,0.9250936329588014,213,37,3,247,0.012,0.568
stain7d,stain-aug v2 7D,specificity,0.85,ood_val,True,0.0967913046479225,0.633,0.633,0.531,0.735,0.6670854271356784,0.5913140311804009,735,265,469,531,0.469,0.398
stain7d,stain-aug v2 7D,specificity,0.9,id_val,True,0.1357543617486953,0.942,0.942,0.984,0.9,0.9077490774907749,0.9443378119001918,225,25,4,246,0.016,0.542
stain7d,stain-aug v2 7D,specificity,0.9,ood_val,True,0.1357543617486953,0.588,0.5880000000000001,0.38,0.796,0.6506849315068494,0.4797979797979798,796,204,620,380,0.62,0.292
