model,model_label,criterion,target,split,achieved_on_id_val,threshold,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,tn,fp,fn,tp,false_negative_rate_over_tumors,predicted_positive_rate
erm7f,7F center-strat ERM [NEW],specificity,0.8,id_val,True,0.2608628571033478,0.8733333333333333,0.8733333333333333,0.9466666666666667,0.8,0.8255813953488372,0.8819875776397516,180,45,12,213,0.05333333333333334,0.5733333333333334
erm7f,7F center-strat ERM [NEW],specificity,0.8,ood_val,True,0.2608628571033478,0.4625,0.4625,0.021,0.904,0.1794871794871795,0.03760071620411818,904,96,979,21,0.979,0.0585
erm7f,7F center-strat ERM [NEW],specificity,0.85,id_val,True,0.3063718378543854,0.8955555555555555,0.8955555555555557,0.9377777777777778,0.8533333333333334,0.8647540983606558,0.8997867803837954,192,33,14,211,0.06222222222222222,0.5422222222222223
erm7f,7F center-strat ERM [NEW],specificity,0.85,ood_val,True,0.3063718378543854,0.464,0.464,0.015,0.913,0.14705882352941177,0.02722323049001815,913,87,985,15,0.985,0.051
erm7f,7F center-strat ERM [NEW],specificity,0.9,id_val,True,0.40940114855766296,0.9066666666666666,0.9066666666666667,0.9111111111111111,0.9022222222222223,0.9030837004405287,0.9070796460176991,203,22,20,205,0.08888888888888889,0.5044444444444445
erm7f,7F center-strat ERM [NEW],specificity,0.9,ood_val,True,0.40940114855766296,0.4705,0.47050000000000003,0.013,0.928,0.15294117647058825,0.02396313364055299,928,72,987,13,0.987,0.0425
erm7f,7F center-strat ERM [NEW],specificity,0.95,id_val,True,0.5802605152130127,0.9155555555555556,0.9155555555555556,0.88,0.9511111111111111,0.9473684210526315,0.912442396313364,214,11,27,198,0.12,0.46444444444444444
erm7f,7F center-strat ERM [NEW],specificity,0.95,ood_val,True,0.5802605152130127,0.479,0.479,0.008,0.95,0.13793103448275862,0.015122873345935728,950,50,992,8,0.992,0.029
groupdro7f,7F GroupDRO [NEW],specificity,0.8,id_val,True,0.10236959159374237,0.8711111111111111,0.8711111111111112,0.9422222222222222,0.8,0.8249027237354085,0.879668049792531,180,45,13,212,0.057777777777777775,0.5711111111111111
groupdro7f,7F GroupDRO [NEW],specificity,0.8,ood_val,True,0.10236959159374237,0.5805,0.5805,0.306,0.855,0.6784922394678492,0.4217780840799448,855,145,694,306,0.694,0.2255
groupdro7f,7F GroupDRO [NEW],specificity,0.85,id_val,True,0.15325024724006653,0.8888888888888888,0.8888888888888888,0.9244444444444444,0.8533333333333334,0.8630705394190872,0.8927038626609443,192,33,17,208,0.07555555555555556,0.5355555555555556
groupdro7f,7F GroupDRO [NEW],specificity,0.85,ood_val,True,0.15325024724006653,0.561,0.5609999999999999,0.241,0.881,0.6694444444444444,0.35441176470588237,881,119,759,241,0.759,0.18
groupdro7f,7F GroupDRO [NEW],specificity,0.9,id_val,True,0.28900694847106934,0.8977777777777778,0.8977777777777778,0.8933333333333333,0.9022222222222223,0.9013452914798207,0.8973214285714286,203,22,24,201,0.10666666666666667,0.4955555555555556
groupdro7f,7F GroupDRO [NEW],specificity,0.9,ood_val,True,0.28900694847106934,0.528,0.528,0.148,0.908,0.6166666666666667,0.2387096774193548,908,92,852,148,0.852,0.12
groupdro7f,7F GroupDRO [NEW],specificity,0.95,id_val,True,0.5699014067649841,0.8955555555555555,0.8955555555555555,0.84,0.9511111111111111,0.945,0.8894117647058823,214,11,36,189,0.16,0.4444444444444444
groupdro7f,7F GroupDRO [NEW],specificity,0.95,ood_val,True,0.5699014067649841,0.502,0.502,0.057,0.947,0.5181818181818182,0.1027027027027027,947,53,943,57,0.943,0.055
plain_old,old plain ERM (4A/5A) [old cache],specificity,0.8,id_val,True,0.0222498252987861,0.894,0.894,0.988,0.8,0.8316498316498316,0.903107861060329,200,50,3,247,0.012,0.594
plain_old,old plain ERM (4A/5A) [old cache],specificity,0.8,ood_val,True,0.0222498252987861,0.7165,0.7165,0.934,0.499,0.6508710801393728,0.7671457905544148,499,501,66,934,0.066,0.7175
plain_old,old plain ERM (4A/5A) [old cache],specificity,0.85,id_val,True,0.0330665484070777,0.92,0.9199999999999999,0.988,0.852,0.8697183098591549,0.9250936329588014,213,37,3,247,0.012,0.568
plain_old,old plain ERM (4A/5A) [old cache],specificity,0.85,ood_val,True,0.0330665484070777,0.722,0.722,0.901,0.543,0.6634756995581738,0.7642069550466496,543,457,99,901,0.099,0.679
plain_old,old plain ERM (4A/5A) [old cache],specificity,0.9,id_val,True,0.0674217715859413,0.944,0.944,0.988,0.9,0.9080882352941176,0.9463601532567049,225,25,3,247,0.012,0.544
plain_old,old plain ERM (4A/5A) [old cache],specificity,0.9,ood_val,True,0.0674217715859413,0.7205,0.7204999999999999,0.833,0.608,0.68,0.7487640449438203,608,392,167,833,0.167,0.6125
plain_old,old plain ERM (4A/5A) [old cache],specificity,0.95,id_val,True,0.1219599395990371,0.964,0.964,0.976,0.952,0.953125,0.9644268774703557,238,12,6,244,0.024,0.512
plain_old,old plain ERM (4A/5A) [old cache],specificity,0.95,ood_val,True,0.1219599395990371,0.7145,0.7145,0.757,0.672,0.6976958525345622,0.7261390887290169,672,328,243,757,0.243,0.5425
