model,criterion,target,threshold_selected_on_id_val,id_val_sensitivity,id_val_specificity,id_val_fn,id_val_fp,ood_val_sensitivity,ood_val_specificity,ood_val_fn,ood_val_fp,ood_val_predicted_positive_rate
center-strat ERM (7F),specificity,0.8,0.2608628571033478,0.9466666666666667,0.8,12,45,0.021,0.904,979,96,0.0585
center-strat ERM (7F),specificity,0.85,0.3063718378543854,0.9377777777777778,0.8533333333333334,14,33,0.015,0.913,985,87,0.051
center-strat ERM (7F),specificity,0.9,0.4094011485576629,0.9111111111111111,0.9022222222222223,20,22,0.013,0.928,987,72,0.0425
center-strat ERM (7F),specificity,0.95,0.5802605152130127,0.88,0.9511111111111111,27,11,0.008,0.95,992,50,0.029
center-strat ERM (7F),sensitivity,0.8,0.8185970783233643,0.8,0.9822222222222222,45,4,0.005,0.966,995,34,0.0195
center-strat ERM (7F),sensitivity,0.9,0.4657229781150818,0.9022222222222223,0.9155555555555556,22,19,0.01,0.94,990,60,0.035
center-strat ERM (7F),sensitivity,0.95,0.2273232340812683,0.9511111111111111,0.7866666666666666,11,48,0.025,0.897,975,103,0.064
GroupDRO (7F),specificity,0.8,0.1023695915937423,0.9422222222222222,0.8,13,45,0.306,0.855,694,145,0.2255
GroupDRO (7F),specificity,0.85,0.1532502472400665,0.9244444444444444,0.8533333333333334,17,33,0.241,0.881,759,119,0.18
GroupDRO (7F),specificity,0.9,0.2890069484710693,0.8933333333333333,0.9022222222222223,24,22,0.148,0.908,852,92,0.12
GroupDRO (7F),specificity,0.95,0.5699014067649841,0.84,0.9511111111111111,36,11,0.057,0.947,943,53,0.055
GroupDRO (7F),sensitivity,0.8,0.7794908881187439,0.8,0.9733333333333334,45,6,0.024,0.963,976,37,0.0305
GroupDRO (7F),sensitivity,0.9,0.2454070150852203,0.9022222222222223,0.8977777777777778,22,23,0.169,0.9,831,100,0.1345
GroupDRO (7F),sensitivity,0.95,0.0763114169239997,0.9511111111111111,0.7688888888888888,11,52,0.365,0.836,635,164,0.2645
