model,target_type,nominal_development_target,frozen_threshold,id_val_metric_at_selection,final_test_sensitivity,final_test_specificity,target_gap,transfer_status,candidate_nonclinical_note
groupdro,specificity,0.8,0.1013885140419006,0.8000235960358659,0.2980694617537094,0.8497190020457591,0.049719002045759075,shifted_from_nominal,Frozen id_val-selected candidate; explicitly non-clinical; no test-set selection or tuning.
groupdro,specificity,0.85,0.1835944801568985,0.850047192071732,0.2239988713052884,0.8957133115432548,0.045713311543254864,shifted_from_nominal,Frozen id_val-selected candidate; explicitly non-clinical; no test-set selection or tuning.
groupdro,specificity,0.9,0.3583780527114868,0.900011798017933,0.1480000940578926,0.9384861382180733,0.03848613821807323,shifted_from_nominal,Frozen id_val-selected candidate; explicitly non-clinical; no test-set selection or tuning.
groupdro,specificity,0.95,0.6946145296096802,0.950035394053799,0.0725656641662943,0.9747924847743786,0.024792484774378676,shifted_from_nominal,Frozen id_val-selected candidate; explicitly non-clinical; no test-set selection or tuning.
groupdro,sensitivity,0.8,0.3734750747680664,0.8000361271676301,0.1430385402215063,0.9410962447386366,-0.6569614597784937,substantial_underachievement,Frozen id_val-selected candidate; explicitly non-clinical; no test-set selection or tuning.
groupdro,sensitivity,0.9,0.1095319464802742,0.9000481695568401,0.2884285277588355,0.8564206268958544,-0.6115714722411645,substantial_underachievement,Frozen id_val-selected candidate; explicitly non-clinical; no test-set selection or tuning.
groupdro,sensitivity,0.95,0.0295121539384126,0.95002408477842,0.4747807275377995,0.7285254073882474,-0.47521927246220047,substantial_underachievement,Frozen id_val-selected candidate; explicitly non-clinical; no test-set selection or tuning.
centerstrat_erm,specificity,0.8,0.2029989957809448,0.8000235960358659,0.4281750417381899,0.7809156535847814,-0.01908434641521861,shifted_from_nominal,Frozen id_val-selected candidate; explicitly non-clinical; no test-set selection or tuning.
centerstrat_erm,specificity,0.85,0.2972504794597626,0.850047192071732,0.3531873868365979,0.8334234721471065,-0.01657652785289343,shifted_from_nominal,Frozen id_val-selected candidate; explicitly non-clinical; no test-set selection or tuning.
centerstrat_erm,specificity,0.9,0.4505151808261871,0.900011798017933,0.265055141439556,0.8879300209278811,-0.01206997907211893,shifted_from_nominal,Frozen id_val-selected candidate; explicitly non-clinical; no test-set selection or tuning.
centerstrat_erm,specificity,0.95,0.6825078725814819,0.950035394053799,0.1581583464622475,0.943094974957086,-0.006905025042913904,near_nominal_descriptive_only,Frozen id_val-selected candidate; explicitly non-clinical; no test-set selection or tuning.
centerstrat_erm,sensitivity,0.8,0.2905814945697784,0.8000361271676301,0.3573259341124462,0.8299903590660052,-0.44267406588755387,substantial_underachievement,Frozen id_val-selected candidate; explicitly non-clinical; no test-set selection or tuning.
centerstrat_erm,sensitivity,0.9,0.1177357584238052,0.9000481695568401,0.5223269922637384,0.7059750276295059,-0.37767300773626167,substantial_underachievement,Frozen id_val-selected candidate; explicitly non-clinical; no test-set selection or tuning.
centerstrat_erm,sensitivity,0.95,0.0456100143492221,0.95002408477842,0.669198391610036,0.5912714275636655,-0.28080160838996393,substantial_underachievement,Frozen id_val-selected candidate; explicitly non-clinical; no test-set selection or tuning.
