citation_key,title,first_author,year,venue,publication_type,peer_reviewed,doi,pmid,pmcid,arxiv_id,official_source_url,manuscript_sections,claim_supported,verification_sources,verification_status,notes
Stacke2021HistopathologyDomainShift,Measuring Domain Shift for Deep Learning in Histopathology,Stacke,2021,IEEE Journal of Biomedical and Health Informatics,journal article,true,10.1109/jbhi.2020.3032060,33085623,,,https://doi.org/10.1109/JBHI.2020.3032060,"Introduction; Related work; Discussion","Histopathology domain shift can be quantified and is associated with acquisition differences","DOI; PubMed; IEEE",verified,
Howard2021SiteSpecificHistology,The Impact of Site-Specific Digital Histology Signatures on Deep Learning Model Accuracy and Bias,Howard,2021,Nature Communications,journal article,true,10.1038/s41467-021-24698-1,34285218,PMC8292530,,https://doi.org/10.1038/s41467-021-24698-1,"Introduction; Related work; Discussion","Site-specific histology signatures can affect model accuracy and bias","DOI; PubMed; PMC; publisher",verified,
Tellez2019StainNormalization,Quantifying the Effects of Data Augmentation and Stain Color Normalization in Convolutional Neural Networks for Computational Pathology,Tellez,2019,Medical Image Analysis,journal article,true,10.1016/j.media.2019.101544,31466046,,,https://doi.org/10.1016/j.media.2019.101544,"Introduction; Related work; Discussion","Stain normalization and augmentation affect computational-pathology performance","DOI; PubMed; Elsevier",verified,
Vahadane2016ColorNormalization,Structure-Preserving Color Normalization and Sparse Stain Separation for Histological Images,Vahadane,2016,IEEE Transactions on Medical Imaging,journal article,true,10.1109/tmi.2016.2529665,27164577,,,https://doi.org/10.1109/TMI.2016.2529665,Related work,"A structure-preserving stain-normalization method for histology","DOI; PubMed; IEEE",verified,
Macenko2009HistologyNormalization,A Method for Normalizing Histology Slides for Quantitative Analysis,Macenko,2009,IEEE International Symposium on Biomedical Imaging,conference paper,true,10.1109/isbi.2009.5193250,,,,https://doi.org/10.1109/ISBI.2009.5193250,Related work,"Foundational color-normalization method for histology","DOI; IEEE proceedings",verified,
Kleppe2021CancerDiagnosticsDesign,Designing Deep Learning Studies in Cancer Diagnostics,Kleppe,2021,Nature Reviews Cancer,review article,true,10.1038/s41568-020-00327-9,33514930,,,https://doi.org/10.1038/s41568-020-00327-9,"Introduction; Related work","Cancer-diagnostic deep-learning studies require careful design and external evaluation","DOI; PubMed; publisher",verified,Review used for study-design context
Bera2019DigitalPathologyAI,Artificial Intelligence in Digital Pathology---New Tools for Diagnosis and Precision Oncology,Bera,2019,Nature Reviews Clinical Oncology,review article,true,10.1038/s41571-019-0252-y,31399699,PMC6880861,,https://doi.org/10.1038/s41571-019-0252-y,Verified literature review,"Digital-pathology AI has translational opportunities and limitations","DOI; PubMed; PMC; publisher",verified,Background literature-review entry
Echle2021CancerPathology,Deep Learning in Cancer Pathology: A New Generation of Clinical Biomarkers,Echle,2021,British Journal of Cancer,review article,true,10.1038/s41416-020-01122-x,33204028,PMC7884739,,https://doi.org/10.1038/s41416-020-01122-x,Verified literature review,"Deep learning in cancer pathology requires translational validation","DOI; PubMed; PMC; publisher",verified,Background literature-review entry
Campanella2019ClinicalGradePathology,Clinical-Grade Computational Pathology Using Weakly Supervised Deep Learning on Whole Slide Images,Campanella,2019,Nature Medicine,journal article,true,10.1038/s41591-019-0508-1,31308507,PMC7418463,,https://doi.org/10.1038/s41591-019-0508-1,Limitations,"Clinical-grade pathology systems operate at whole-slide and workflow scales","DOI; PubMed; PMC; publisher",verified,
Lu2021WeaklySupervisedPathology,Data-Efficient and Weakly Supervised Computational Pathology on Whole-Slide Images,Lu,2021,Nature Biomedical Engineering,journal article,true,10.1038/s41551-020-00682-w,33649564,PMC8711640,,https://doi.org/10.1038/s41551-020-00682-w,Limitations,"Whole-slide pathology requires aggregation beyond patch classification","DOI; PubMed; PMC; publisher",verified,
